Year,Gender,GeoCode,Value
2013,,d172,81.51
2012,,d172,81.65
2011,,d172,81.71
2010,,d172,82.55
2009,,d172,82.13
2021,,d173,83.55
2020,,d173,83.11
2019,,d173,83.66
2018,,d173,82.94
2017,,d173,83.45
2016,,d173,83.03
2015,,d173,82.98
2014,,d173,82.19
2013,,d173,81.51
2012,,d173,81.65
2011,,d173,81.71
2010,,d173,82.55
2009,,d173,82.13
2021,,d174,83.55
2020,,d174,83.11
2019,,d174,83.66
2018,,d174,82.94
2017,,d174,83.45
2016,,d174,83.03
2015,,d174,82.98
2014,,d174,82.19
2013,,d174,81.51
2012,,d174,81.65
2011,,d174,81.71
2010,,d174,82.55
2009,,d174,82.13
