Year,Value
2018,31.31
2017,26.64
2016,27.19
2015,23.7
2014,23.18
2013,23.53
2012,23.54
2011,23.45
2010,23.97
2009,24.21
2020,1000
2019,1000
2018,1050
2017,1050
2016,1050
2015,1284
2014,1284
2013,1284
2012,1440
2011,1440
2010,1440
2009,1440
2020,16577
2019,16399
2018,16270
2017,16244
2016,16136
2015,16029
2014,15935
2013,15893
2012,15721
2011,15594
2010,15618
2009,15443
2020,10196
2019,10039
2018,9908
2017,9813
2016,9692
2015,9612
2014,9527
2013,9520
2012,9544
2011,9439
2010,9309
2009,9103
2020,2015
2019,1952
2018,1931
2017,1964
2016,1948
2015,1922
2014,1956
2013,1937
2012,1980
2011,1996
2010,1950
2009,1949
2020,28608
2019,28120
2018,27827
2017,27752
2016,27728
2015,27688
2014,27478
2013,27654
2012,27697
2011,27330
2010,27175
2009,27035
2020,9782
2019,9667
2018,9538
2017,9375
2016,9341
2015,9264
2014,9149
2013,8888
2012,8809
2011,9022
2010,8918
2009,8968
2020,19078
2019,18771
2018,18467
2017,18440
2016,18462
2015,18570
2014,18644
2013,18834
2012,19058
2011,19213
2010,19143
2009,18979
2020,193767
2019,191675
2018,191320
2017,189029
2016,188612
2015,186820
2014,186397
2013,188024
2012,188893
2011,188724
2010,190493
2009,189850
2020,691.97
2019,692.91
2018,729.8
2017,728.06
2016,728.31
2015,888.75
2014,889.43
2013,891.68
2012,1001.12
2011,1001.64
2010,1006.25
2009,1007.58
2020,546
2019,546
2018,501
2017,501
2016,503
2015,503
2014,503
2013,550
2012,592
2011,592
2010,592
2009,593
2020,29711
2019,29561
2018,29341
2017,29474
2016,29660
2015,29838
2014,29964
2013,30273
2012,30202
2011,30235
2010,30270
2009,30392
2020,327
2019,376
2018,355
2017,379
2016,394
2015,443
2014,418
2013,437
2012,496
2011,565
2010,414
2009,434
2020,331
2019,345
2018,346
2017,349
2016,369
2015,387
2014,395
2013,401
2012,451
2011,466
2010,491
2009,502
2020,2956
2019,2867
2018,2822
2017,2865
2016,2907
2015,2891
2014,2857
2013,2923
2012,2902
2011,2928
2010,2862
2009,2804
2020,26514
2019,26088
2018,25309
2017,25241
2016,25084
2015,24810
2014,24810
2013,24787
2012,24506
2011,24298
2010,23980
2009,23519
2020,11606
2019,11513
2018,11409
2017,11278
2016,11281
2015,11270
2014,11109
2013,11223
2012,11319
2011,11261
2010,11137
2009,11053
2020,21263
2019,20942
2018,20709
2017,20658
2016,20498
2015,20427
2014,20393
2013,20420
2012,20265
2011,20087
2010,19944
2009,19786
2020,2207
2019,2154
2018,2152
2017,2184
2016,2263
2015,2291
2014,2321
2013,2330
2012,2330
2011,2367
2010,2349
2009,2329
2020,83962
2019,82208
2018,81245
2017,80630
2016,80762
2015,80107
2014,80551
2013,80759
2012,81402
2011,80610
2010,79843
2009,78543
2020,30197
2019,29623
2018,29108
2017,28950
2016,28771
2015,28963
2014,29309
2013,29796
2012,30213
2011,30405
2010,30910
2009,30691
2020,145901
2019,144614
2018,145012
2017,143913
2016,143573
2015,143009
2014,142854
2013,144260
2012,145274
2011,145402
2010,147242
2009,148030
2020,224.42
2019,225.41
2018,208.88
2017,208.43
2016,208.98
2015,208.84
2014,208.29
2013,228.25
2012,246.17
2011,246.91
2010,249.45
2009,252.19
2020,539
2019,539
2018,517
2017,517
2016,525
2015,525
2014,539
2013,539
2012,539
2011,539
2010,539
2009,539
2020,125
2019,125
2018,125
2017,125
2016,125
2015,125
2014,125
2013,125
2012,125
2011,125
2010,125
2009,125
2020,21395
2019,20890
2018,20763
2017,20776
2016,20777
2015,21125
2014,21305
2013,20973
2012,20852
2011,20728
2010,20730
2009,20853
2020,15000
2019,14799
2018,14668
2017,14495
2016,14505
2015,14436
2014,14529
2013,14709
2012,14999
2011,15290
2010,15399
2009,15313
2020,10391
2019,10333
2018,10245
2017,10179
2016,10172
2015,10180
2014,10183
2013,10201
2012,10186
2011,10092
2010,9971
2009,9913
2020,226842
2019,225156
2018,225616
2017,224152
2016,223840
2015,222492
2014,222864
2013,224513
2012,226085
2011,226343
2010,229865
2009,231564
2020,550.47
2019,551.31
2018,533.91
2017,533.77
2016,540.29
2015,539.16
2014,550.36
2013,551.33
2012,551.67
2011,551.62
2010,553.08
2009,553.8
2020,1893.41
2019,1897.88
2018,1907.91
2017,1901.07
2016,1909.56
2015,2064.99
2014,2082.75
2013,2111.08
2012,2243.31
2011,2246.95
2010,2259.22
2009,2266.64
2020,801545
2019,795736
2018,798538
2017,792086
2016,791632
2015,787266
2014,787301
2013,794228
2012,799188
2011,800469
2010,810444
2009,815440
2020,23.62
2019,23.85
2018,23.89
2017,24
2016,24.12
2015,26.23
2014,26.45
2013,26.58
2012,28.07
2011,28.07
2010,27.88
2009,27.8
